#start_time: 2016-10-07_15_04_23
#end_time: 2016-10-07_20_04_23
I_NUM: 5,readCnt: 6
Status:IRRI,EnableCnt:1,DisableCnt:0,ec5,a0,0.36,ec5,a1,0.34,ec5,a2,0.41
: 5,readCnt: 5
In Skip mode: SKIP_NUM: 5,readCnt: 6
Status:IRRI,EnableCnt:1,DisableCnt:0,ec5,a0,0.36,ec5,a1,0.34,ec5,a2,0.41
In Skip mode: SKIP_NUM: 5,readCnt: 1
In Skip mode: SKIP_NUM: 5,readCnt: 2
In Skip mode: SKIP_NUM: 5,readCnt: 3
In Skip mode: SKIP_NUM: 5,readCnt: 4
In Skip mode: SKIP_NUM: 5,readCnt: 5
In Skip mode: SKIP_NUM: 5,readCnt: 6
Status:IRRI,EnableCnt:27,DisableCnt:0,ec5,a0,0.37,ec5,a1,0.35,ec5,a2,0.42
Status:IRRI,EnableCnt:28,DisableCnt:0,ec5,a0,0.33,ec5,a1,0.35,ec5,a2,0.38
Status:IRRI,EnableCnt:29,DisableCnt:0,ec5,a0,0.34,ec5,a1,0.33,ec5,a2,0.40
Status:IRRI,EnableCnt:30,DisableCnt:0,ec5,a0,0.33,ec5,a1,0.35,ec5,a2,0.40
Status:IDLE,EnableCnt:0,DisableCnt:1,ec5,a0,0.35,ec5,a1,0.35,ec5,a2,0.34
Status:IDLE,EnableCnt:0,DisableCnt:2,ec5,a0,0.30,ec5,a1,0.36,ec5,a2,0.34
Status:IDLE,EnableCnt:0,DisableCnt:3,ec5,a0,0.36,ec5,a1,0.35,ec5,a2,0.38
Status:IDLE,EnableCnt:0,DisableCnt:4,ec5,a0,0.33,ec5,a1,0.34,ec5,a2,0.38
Status:IDLE,EnableCnt:0,DisableCnt:5,ec5,a0,0.29,ec5,a1,0.37,ec5,a2,0.36
Status:IDLE,EnableCnt:0,DisableCnt:6,ec5,a0,0.34,ec5,a1,0.34,ec5,a2,0.39
Status:IDLE,EnableCnt:0,DisableCnt:7,ec5,a0,0.31,ec5,a1,0.38,ec5,a2,0.38
Status:IDLE,EnableCnt:0,DisableCnt:8,ec5,a0,0.33,ec5,a1,0.38,ec5,a2,0.40
Status:IDLE,EnableCnt:0,DisableCnt:9,ec5,a0,0.31,ec5,a1,0.35,ec5,a2,0.38
Status:IDLE,EnableCnt:0,DisableCnt:10,ec5,a0,0.30,ec5,a1,0.39,ec5,a2,0.39
Status:IDLE,EnableCnt:0,DisableCnt:11,ec5,a0,0.35,ec5,a1,0.34,ec5,a2,0.40
Status:IDLE,EnableCnt:0,DisableCnt:12,ec5,a0,0.34,ec5,a1,0.39,ec5,a2,0.40
Status:IDLE,EnableCnt:0,DisableCnt:13,ec5,a0,0.35,ec5,a1,0.35,ec5,a2,0.40
Status:IDLE,EnableCnt:0,DisableCnt:14,ec5,a0,0.30,ec5,a1,0.38,ec5,a2,0.40
Status:IDLE,EnableCnt:0,DisableCnt:15,ec5,a0,0.34,ec5,a1,0.39,ec5,a2,0.41
Status:IDLE,EnableCnt:0,DisableCnt:16,ec5,a0,0.35,ec5,a1,0.34,ec5,a2,0.39
Status:IDLE,EnableCnt:0,DisableCnt:17,ec5,a0,0.37,ec5,a1,0.34,ec5,a2,0.36
Status:IDLE,EnableCnt:0,DisableCnt:18,ec5,a0,0.34,ec5,a1,0.39,ec5,a2,0.40
Status:IDLE,EnableCnt:0,DisableCnt:19,ec5,a0,0.31,ec5,a1,0.35,ec5,a2,0.35
Status:IDLE,EnableCnt:0,DisableCnt:20,ec5,a0,0.31,ec5,a1,0.39,ec5,a2,0.36
Status:IDLE,EnableCnt:0,DisableCnt:21,ec5,a0,0.36,ec5,a1,0.38,ec5,a2,0.38
Status:IDLE,EnableCnt:0,DisableCnt:22,ec5,a0,0.33,ec5,a1,0.36,ec5,a2,0.39
Status:IDLE,EnableCnt:0,DisableCnt:23,ec5,a0,0.35,ec5,a1,0.34,ec5,a2,0.40
Status:IDLE,EnableCnt:0,DisableCnt:24,ec5,a0,0.30,ec5,a1,0.37,ec5,a2,0.41
Status:IDLE,EnableCnt:0,DisableCnt:25,ec5,a0,0.36,ec5,a1,0.39,ec5,a2,0.39
Status:IDLE,EnableCnt:0,DisableCnt:26,ec5,a0,0.36,ec5,a1,0.33,ec5,a2,0.41
Status:IDLE,EnableCnt:0,DisableCnt:27,ec5,a0,0.35,ec5,a1,0.32,ec5,a2,0.39
Status:IDLE,EnableCnt:0,DisableCnt:28,ec5,a0,0.35,ec5,a1,0.40,ec5,a2,0.40
Status:IDLE,EnableCnt:0,DisableCnt:29,ec5,a0,0.34,ec5,a1,0.33,ec5,a2,0.35
Status:IDLE,EnableCnt:0,DisableCnt:30,ec5,a0,0.35,ec5,a1,0.34,ec5,a2,0.39
Status:IRRI,EnableCnt:1,DisableCnt:0,ec5,a0,0.33,ec5,a1,0.35,ec5,a2,0.38
